,cluster,churn_proba,segment,strategy
53052,1,0.23757172,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63497,1,0.27962545,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55956,2,0.34500903,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56833,2,0.14188693,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
54737,2,0.21986777,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
54246,0,0.58913916,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
60577,1,0.46402395,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55264,1,0.6220122,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
58834,1,0.47989967,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57687,1,0.14966206,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
60197,1,0.4820073,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
30941,1,0.0731098,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57576,1,0.3408201,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
54850,0,0.5574125,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
59264,2,0.118771896,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
66341,1,0.29275882,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57481,1,0.2192261,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65385,2,0.34372547,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56370,1,0.50726783,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
66620,2,0.08317111,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
70978,1,0.24184191,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
