customer_id,shap_aopc,lime_aopc,random_aopc
49649,0.35032004,0.48263603,0.4955317
48978,0.6191439,0.5276185,0.32964456
22409,0.70696616,0.6556952,0.28690618
10938,0.4026636,0.3893016,0.28011757
15581,0.44070303,0.41347992,0.28290004
67445,0.73830825,0.6326783,0.14038138
4951,0.68933034,0.58882564,0.5316841
1154,0.4602285,0.2618918,0.19769438
4963,0.7370952,0.61269355,0.520724
28523,0.7181873,0.71622354,0.36656243
69552,0.4476266,0.45238504,0.27801594
946,0.47338334,0.44211262,0.18086347
3596,0.7156986,0.6145053,0.514245
26049,0.5347715,0.4892015,0.51038814
49159,0.49811116,0.606433,0.5822586
42271,0.53124005,0.4612038,0.4128517
66906,0.48726836,0.5011374,0.37108946
50599,0.66440034,0.6682161,0.3657866
47400,0.68820125,0.5916227,0.5114821
54615,0.597005,0.5332489,0.22612141
59279,0.52801365,0.5402143,0.34531802
36279,0.45646316,0.47178861,0.35146034
30151,0.67675674,0.659235,0.24230444
32982,0.42911556,0.45733997,0.18449566
14336,0.7445472,0.6895357,0.062575944
28351,0.79026634,0.6226554,0.55237657
25821,0.6217926,0.671965,0.24239081
51738,0.47553393,0.42619497,0.3312769
2642,0.5722234,0.548076,0.49103218
639,0.38247252,0.30189493,0.32231435
3873,0.6430329,0.63423485,0.39679366
23171,0.51603436,0.5901078,0.31663743
38699,0.5948128,0.4087299,0.48566854
1728,0.5317941,0.5798993,0.42630422
27139,0.82294714,0.8146716,0.40329516
39001,0.6326002,0.50795424,0.11982417
65073,0.587928,0.59163004,0.4034282
1737,0.44543123,0.5011895,0.44556823
20733,0.45805928,0.4581842,0.2113047
60054,0.70326,0.5483186,0.44468343
13493,0.6913666,0.7026236,0.36387575
28927,0.79924726,0.63609064,0.7024389
5650,0.5776629,0.5084085,0.45279682
14738,0.7029621,0.5516359,0.59823024
739,0.67763966,0.53599256,0.5997684
66225,0.65602785,0.6155189,0.25527743
49047,0.8065894,0.6565033,0.16390367
23312,0.58408844,0.5810939,0.08300948
18625,0.552161,0.5196946,0.45796603
40781,0.5641096,0.4952896,0.1957164
51834,0.24246319,0.21179667,0.15234065
49164,0.7525128,0.64780396,0.3648365
17810,0.68612707,0.5389562,0.43365264
68185,0.660568,0.5411416,0.5937918
53327,0.65472126,0.49165937,0.5722114
21736,0.37953165,0.34232768,0.18276975
41114,0.50988144,0.41939774,0.39917016
59393,0.7576934,0.72464716,0.6220046
25405,0.62228596,0.60455346,0.42092
1961,0.67926645,0.68829143,0.35072103
61565,0.57461375,0.4422722,0.15162872
46660,0.47835276,0.4784888,0.27328104
11437,0.5963203,0.46635294,0.49647075
70557,0.739414,0.74141645,0.5397811
16412,0.5859142,0.5146768,0.337179
26215,0.6345698,0.6776664,0.26657873
17186,0.4444474,0.3925228,0.27487576
60626,0.4236038,0.6294544,0.45839652
31626,0.62082845,0.64859426,0.45761296
42632,0.5313651,0.5474599,0.4916926
9277,0.42692462,0.5785839,0.24972354
37222,0.4484442,0.41657364,0.221951
28931,0.72326577,0.7457576,0.17176305
46364,0.3579072,0.38393995,0.19807239
45203,0.37807634,0.37565535,0.2576984
17773,0.6483369,0.5083434,0.5710356
58421,0.7116274,0.62226963,0.4633444
7222,0.42124385,0.3638574,0.32929522
29424,0.6623255,0.78220767,0.5639101
526,0.33450982,0.35406843,0.23220903
37812,0.3408944,0.4431296,0.21126655
8275,0.6498963,0.6612072,0.28341925
5206,0.5763101,0.5493975,0.37315416
65809,0.46932486,0.5749141,0.62105274
6568,0.69466335,0.60335106,0.3076635
7711,0.7574328,0.6286637,0.7100545
20539,0.46433103,0.3849846,0.41402256
30803,0.54632604,0.53514224,0.25621215
25280,0.73458815,0.6978389,0.34703535
56018,0.36371374,0.34872544,0.26209325
39266,0.6591107,0.6093637,0.4374783
38767,0.59474593,0.57399595,0.41204727
25628,0.6421032,0.5271976,0.52173907
5565,0.6572667,0.5157491,0.4960999
63667,0.57749426,0.5381424,0.2742511
24685,0.83658683,0.7140142,0.57167655
27299,0.7698283,0.6612918,0.44573125
60589,0.46174055,0.43790597,0.32560918
28874,0.70093775,0.7608669,0.47953916
58915,0.6735615,0.52730954,0.15868784
4777,0.73437166,0.6105436,0.5018061
39132,0.56558794,0.45390403,0.5251628
64804,0.39716306,0.36698243,0.2164371
39602,0.5037921,0.40458822,0.31425074
58851,0.39809567,0.41522545,0.25683948
33717,0.56032926,0.49169493,0.39964464
69156,0.5770613,0.5100189,0.46099532
55724,0.66501856,0.7243975,0.26976407
47158,0.5119229,0.5487824,0.41220337
6008,0.7462108,0.5011722,0.5691787
49680,0.77216256,0.7221433,0.38654327
53532,0.60819113,0.5250565,0.04607806
10523,0.12478217,0.33699948,0.34075317
52829,0.62574095,0.59767896,0.49785852
56553,0.30622166,0.29069164,0.30969754
67467,0.2751906,0.29877782,0.27040502
27228,0.73694354,0.5465464,0.26735622
62645,0.39204708,0.31882864,0.43301064
13918,0.8350959,0.67709696,0.48680013
11587,0.74115527,0.64287394,0.7012882
57977,0.5365911,0.51741475,0.32488465
56647,0.70152986,0.64437693,0.35708782
18023,0.4413092,0.44680128,0.40854943
37412,0.6341428,0.5473866,0.1955687
36059,0.6136114,0.54666,0.45950064
49727,0.83028644,0.7488836,0.84323573
28310,0.52760607,0.63611233,0.104691565
50807,0.6726694,0.40592638,0.37374473
16309,0.6307339,0.59892577,0.42003432
2219,0.44638392,0.44709694,0.3514706
26872,0.8087812,0.7630231,0.2301849
10848,0.7855127,0.69182813,0.39277086
636,0.6218033,0.5293478,0.2996265
48684,0.8338796,0.84678274,0.2733826
16122,0.50877535,0.33886606,0.24106836
19978,0.4790673,0.44769356,0.44984034
20150,0.40138292,0.42622152,0.3933855
60890,0.56786734,0.51814854,0.34238577
53720,0.5137088,0.4335278,0.3835642
8353,0.6462552,0.5939525,0.4527088
60668,0.7141869,0.53736955,0.34322065
35732,0.25817776,0.29542515,0.25803557
29693,0.7520826,0.67014056,0.21984994
60940,0.5181403,0.4858838,0.409945
43244,0.7398345,0.6173287,0.5787233
63379,0.34920135,0.3503125,0.2723343
59097,0.6119232,0.5111743,0.24495782
40506,0.5018418,0.4801202,0.5001828
17209,0.68083316,0.596635,0.33961934
33371,0.49647555,0.41507912,0.3232964
44194,0.42844114,0.35655847,0.293476
52684,0.4953442,0.49887398,0.4152753
54945,0.5553695,0.5427686,0.36936894
69580,0.27901414,0.2426707,0.24994352
35971,0.6784883,0.47018927,0.26095435
3812,0.19593033,0.47747335,0.52499646
61160,0.3406858,0.26894677,0.29675788
17908,0.41781002,0.42892694,0.38955268
41065,0.6250336,0.6475003,0.44574612
27169,0.5134441,0.5480623,0.18532906
30408,0.226353,0.24225889,0.16063923
50840,0.21446204,0.16702858,0.108885214
24230,0.6855482,0.58705187,0.47205982
49689,0.47328153,0.6665502,0.49735293
16566,0.2932886,0.30250245,0.20227179
52327,0.46877494,0.4117836,0.35397983
68904,0.51132965,0.48124164,0.47802493
25993,0.67744875,0.5891702,0.30487657
35018,0.77168596,0.7696621,0.5715649
36115,0.5381502,0.45384085,0.36505452
55586,0.71976554,0.60573196,0.6139666
40399,0.62049645,0.5591798,0.3859029
32345,0.71385556,0.67329586,0.5610061
36088,0.657859,0.610631,0.51281726
4274,0.75895345,0.6148182,0.70540416
25883,0.534312,0.63938767,0.5826282
47908,0.6449457,0.609988,0.38177243
26512,0.6695615,0.66893804,0.50057876
10230,0.7356012,0.7679508,0.34806737
52960,0.6832188,0.658289,0.5809232
10683,0.57619417,0.5199847,0.5378099
56648,0.45839423,0.49078935,0.4607576
15890,0.51077104,0.48190883,0.33245575
10283,0.37360436,0.462732,0.47437704
11353,0.6158898,0.4429986,0.5585477
58056,0.25361082,0.1878939,0.18104003
57972,0.51671827,0.4539272,0.3829601
55079,0.53079593,0.50230354,0.14545204
16873,0.7275573,0.61052746,0.7148523
37557,0.5653858,0.42100525,0.3402778
18909,0.617077,0.6065266,0.65081584
15152,0.44805005,0.50538903,0.4410964
31202,0.48249137,0.4888857,0.35683596
58834,0.48106268,0.387867,0.3823529
45034,0.5174311,0.42426655,0.41588208
68897,0.43287003,0.4292312,0.12421735
44917,0.8296784,0.7231182,0.50065994
29873,0.70513034,0.6321954,0.29821795
50339,0.781833,0.7559254,0.4864648
66746,0.5357665,0.5106501,0.19563016
49280,0.39878336,0.52544105,0.24429712
8244,0.7663194,0.6201873,0.5578488
69417,0.5588614,0.5426616,0.34239888
9304,0.7864283,0.79330134,0.27346087
34148,0.4919263,0.47673294,0.45643315
44503,0.5460868,0.50663036,0.3887235
56795,0.40694612,0.42227948,0.3789327
12356,0.75767446,0.6106328,0.5958682
36867,0.5421048,0.50229937,0.26566523
13731,0.41732508,0.40980417,0.3286924
40483,0.6952365,0.6921813,0.31545475
