,XGBoost,RandomForest,LogReg
revenue,0.0149472775,0.008783666533985494,0.02995140144590373
mou,0.072156295,0.02803043895145033,0.03899581621358829
recchrge,0.031096183,0.035061341722652226,0.028162725283135424
directas,0.033951454,0.03501858943972939,0.00304349100144353
overage,0.04967124,0.0904456011847038,0.016720924713928664
roam,0.01971267,0.04693190455558735,0.0009823218431698187
changem,0.05499745,0.03207124499723875,0.04531433920377183
changer,0.017193472,0.011559286563602045,0.026811430343769187
dropvce,0.0362266,0.018101916567090252,0.02035986555775504
blckvce,0.02259529,0.029442089976627266,0.0025234146096397548
unansvce,0.008425273,0.007790209734669472,0.0025835598733390183
custcare,0.01036821,0.014019573294264207,0.007850918118356616
threeway,0.023675142,0.014628550355896249,0.007600867313285519
mourec,0.01895882,0.01081044867959803,0.0005843243855601979
outcalls,0.009427591,0.009076392395986142,0.004199122961162802
incalls,0.017864877,0.012924119477542967,0.013849804780452467
peakvce,0.023087068,0.024123152490653024,0.014922867006814326
opeakvce,0.01259577,0.012737236647124258,0.005294316996156263
dropblk,0.007607475,0.007222774574525724,0.0013722722488887162
callfwdv,0.00035693857,0.0001380496760215583,0.0001493477837277338
callwait,0.009026929,0.020517475828984676,0.0039606486718203006
months,0.07807621,0.08512065570535957,0.08383042533509776
uniqsubs,0.09202837,0.07493939636886969,0.011008054576341223
actvsubs,0.010031871,0.06814484259490682,0.003706081944153879
phones,0.018903159,0.012647774240394196,0.023035001434512516
models,0.015720129,0.024276620874995478,0.0013734739892760663
eqpdays,0.07599235,0.11120470177321998,0.12316927845189138
age1,0.023554513,0.016906077324953295,0.03804674928979963
age2,0.0072034635,0.0075728843781853235,0.012610145087788249
children,0.00598163,0.001603737526420194,0.014003116243005927
credita,0.007267527,0.0012409139925234824,0.0184392430002952
creditaa,0.02054655,0.012896615206892732,0.04576008611594584
prizmrur,0.001192971,0.0009423429056159907,0.0007906862897789585
prizmub,0.0030268885,0.002016740173325796,0.007413536131090646
prizmtwn,0.002237249,0.0020604701610977684,0.0034523001088870146
refurb,0.014609418,0.0073590021189436135,0.020107045779839416
webcap,0.011543686,0.006950567291124422,0.0019737662625240655
truck,0.0015994118,0.0018470101933969465,0.001716075976313672
rv,0.0004884684,0.000763580866606421,0.0019252896771727328
occprof,0.0020997112,0.0019365690669184352,0.014348347870276492
occcler,0.000407651,0.00041447107211091655,0.0020750363267668663
occcrft,0.0005405349,0.00042041442470172255,0.008090094924808151
occstud,0.0,0.00014119662547193532,0.0005050787799125689
occhmkr,0.00016961686,5.846115538504259e-05,0.00025549937715230804
occret,0.0007238162,0.0002639699218441066,0.00467428556081047
occself,0.00028068005,0.000348900528164344,0.0011905446651517553
ownrent,0.0008279588,0.0037775759499812113,0.0015835667321937156
marryun,0.0061809495,0.004160440504030972,0.012703036273411124
marryyes,0.0030790635,0.0016526436735011774,0.0172092902490709
mailord,0.0030250417,0.0033012971250983773,0.04660465125635186
mailres,0.0106867375,0.004678718934494529,0.06455757727795859
mailflag,0.00020268575,0.00018894495373955041,0.002264364680950652
travel,0.00079600525,0.0006988311435713467,0.0033572419285915985
pcown,0.005341105,0.001553819123417977,0.0027111421560081514
creditcd,0.0011966319,0.0030813936386946475,0.028614642580844358
retcalls,0.023372049,0.006366338998319674,0.009834155351670867
retaccpt,0.0005603106,0.0008344305057134028,0.004988509844962511
newcelly,0.001156011,0.0016908704016431006,0.005920784133762777
newcelln,0.0017897476,0.0012741720250236863,0.0024736839695476075
refer,0.005284021,0.0030060582584922717,0.005184429736814517
incmiss,0.0034651558,0.00374524263918179,0.0058030895632648774
income,0.014567286,0.011223146473032889,0.008193295473353557
mcycle,0.00010626627,0.0002089852868298918,0.0013615690925473467
setprcm,0.0032516194,0.01299083784689486,0.02344344549971612
setprc,0.019224277,0.015741136106454837,0.015428998612133036
retcall,0.007719226,0.008313136272522382,0.019029502032583794
